set,collector_number,qty,finish,acquired_price_usd
plst,CHK-10,1,nonfoil,
tdc,116,1,nonfoil,
sld,499,1,foil,
cmr,473,1,nonfoil,
cmm,693,1,nonfoil,
lcc,2,1,nonfoil,
pip,224,1,nonfoil,
mkc,56,1,nonfoil,
lci,224,1,nonfoil,
lcc,300,1,nonfoil,
lcc,182,1,nonfoil,
lcc,184,1,nonfoil,
lcc,185,1,nonfoil,
lcc,186,1,nonfoil,
mkc,250,1,nonfoil,
lcc,187,1,nonfoil,
lcc,5,1,nonfoil,
lcc,188,1,nonfoil,
lcc,70,1,nonfoil,
pip,259,1,nonfoil,
lcc,301,1,nonfoil,
lcc,189,1,nonfoil,
lcc,190,1,nonfoil,
lcc,267,1,nonfoil,
lcc,191,1,nonfoil,
lcc,193,1,nonfoil,
lcc,80,1,nonfoil,
lcc,194,1,nonfoil,
lcc,71,1,nonfoil,
lcc,268,1,nonfoil,
lcc,269,1,nonfoil,
lcc,195,1,nonfoil,
lcc,196,1,nonfoil,
lcc,199,1,nonfoil,
lcc,303,1,nonfoil,
lcc,200,1,nonfoil,
lcc,337,1,nonfoil,
lcc,129,1,nonfoil,
lcc,275,1,nonfoil,
lcc,73,1,nonfoil,
lcc,132,1,nonfoil,
lcc,83,1,nonfoil,
lcc,133,1,nonfoil,
mkc,232,1,nonfoil,
mkc,276,1,nonfoil,
lcc,203,1,nonfoil,
lcc,202,1,nonfoil,
lcc,204,1,nonfoil,
lcc,205,1,nonfoil,
lcc,97,1,nonfoil,
clu,241,1,nonfoil,
clu,225,1,nonfoil,
lcc,206,1,nonfoil,
mkc,279,1,nonfoil,
lcc,207,1,nonfoil,
pip,317,8,nonfoil,
lcc,84,1,nonfoil,
lcc,135,1,nonfoil,
lcc,74,1,nonfoil,
lcc,136,1,nonfoil,
mkc,284,1,nonfoil,
lcc,209,1,nonfoil,
lcc,350,1,nonfoil,
lcc,351,1,nonfoil,
pip,239,1,nonfoil,
lcc,289,1,nonfoil,
pip,321,13,nonfoil,
lcc,314,1,nonfoil,
mkc,88,1,nonfoil,
lcc,356,1,nonfoil,
lcc,315,1,nonfoil,
lcc,358,1,nonfoil,
mkc,305,1,nonfoil,
lcc,210,1,nonfoil,
mkc,143,1,nonfoil,
lcc,366,1,nonfoil,
lcc,292,1,nonfoil,
lcc,367,1,nonfoil,
lcc,212,1,nonfoil,
lcc,213,1,nonfoil,
lcc,369,1,nonfoil,
lcc,293,1,nonfoil,
lcc,317,1,nonfoil,
mkc,91,1,nonfoil,
lcc,370,1,nonfoil,
lcc,214,1,nonfoil,
cmm,725,1,nonfoil,
scd,125,1,nonfoil,
otc,217,1,nonfoil,
c21,14,1,nonfoil,
khm,90,1,nonfoil,
afr,361,1,nonfoil,
a25,204,1,nonfoil,
cmr,184,1,nonfoil,
kld,183,1,nonfoil,
khm,324,1,nonfoil,
blc,143,1,nonfoil,
tdc,124,1,nonfoil,
ncc,18,1,nonfoil,
sok,19,1,nonfoil,
otc,144,1,nonfoil,
c21,20,1,nonfoil,
ltc,176,1,nonfoil,
tdc,302,1,nonfoil,
voc,140,1,nonfoil,
dmc,92,1,nonfoil,
stx,6,1,nonfoil,
2x2,34,1,nonfoil,
eoc,86,1,nonfoil,
blc,105,1,nonfoil,
frf,109,1,nonfoil,
sld,1997,1,nonfoil,
fic,253,1,nonfoil,
tsr,4,1,nonfoil,
tdc,279,1,nonfoil,
frf,91,1,nonfoil,
plst,INV-234,1,nonfoil,
gtc,148,1,nonfoil,
drc,48,1,nonfoil,
mkc,58,1,nonfoil,
fic,322,1,nonfoil,
cmr,444,1,nonfoil,
mir,260,1,nonfoil,
ltr,119,1,nonfoil,
cmm,26,1,nonfoil,
dsc,221,1,nonfoil,
znr,111,1,nonfoil,
ltc,503,1,nonfoil,
arc,4,1,nonfoil,
eoc,125,1,nonfoil,
m11,155,1,nonfoil,
tdc,132,1,nonfoil,
tdc,134,1,nonfoil,
khm,153,1,nonfoil,
znr,174,1,nonfoil,
dgm,135,1,nonfoil,
blc,127,1,nonfoil,
blc,128,1,nonfoil,
dmc,182,1,nonfoil,
lcc,310,1,nonfoil,
c16,268,1,nonfoil,
dsc,94,1,nonfoil,
rav,272,1,nonfoil,
tdc,329,1,nonfoil,
lcc,315,1,nonfoil,
pip,248,1,nonfoil,
fdn,617,1,nonfoil,
tle,153,1,nonfoil,
eoc,58,1,nonfoil,
khm,252,1,nonfoil,
c19,233,1,nonfoil,
znr,285,1,nonfoil,
dsc,268,1,nonfoil,
drc,60,1,nonfoil,
dsc,275,1,nonfoil,
eoc,60,1,nonfoil,
fic,391,1,nonfoil,
fic,401,1,nonfoil,
plst,UMA-247,1,nonfoil,
tdm,283,3,nonfoil,
znr,263,1,nonfoil,
fic,409,1,nonfoil,
drc,164,1,nonfoil,
drc,166,1,nonfoil,
tla,282,4,nonfoil,
c19,266,1,nonfoil,
fdn,264,1,nonfoil,
eoc,174,1,nonfoil,
otc,317,1,nonfoil,
eoc,182,1,nonfoil,
eoc,185,1,nonfoil,
tla,284,3,nonfoil,
scd,326,1,nonfoil,
tdc,406,1,nonfoil,
eoc,188,1,nonfoil,
tdc,410,1,nonfoil,